experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_rescues_false_feasible,milp_solver_ms,milp_error
heterogeneity,46dc882733e6700844af,2320112743,19,uniform,Aleatorio,low,Baja,0.15,0.15839013221895765,18,4,12,0.2,True,True,False,0.0,1.2282072194763982,2.614001470563547,True,True,0.0,False,8.5887,
heterogeneity,46dc882733e6700844af,2320112743,19,uniform,Aleatorio,moderate,Moderada,0.35,0.47929848674743497,18,4,12,0.2,True,False,True,0.23489121633460286,-0.23489121633460286,4.782278271827557,True,True,0.0,True,10.3924,
heterogeneity,46dc882733e6700844af,2320112743,19,uniform,Aleatorio,high,Alta,0.65,0.548137387453448,18,4,12,0.2,True,False,True,5.533749506097988,-3.9002739899206773,1.2084043185344338,True,True,0.0,True,25.5727,
heterogeneity,46dc882733e6700844af,2320112743,19,uniform,Aleatorio,extreme,Extrema,1.0,0.7866163793977181,18,4,12,0.2,True,False,True,11.178987907902751,-11.178987907902751,0.7329071032312457,True,True,0.0,True,8.817,
heterogeneity,bd5e17dfd8d56c098f3c,1098413153,20,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.40369067155473104,2.2972295990677036,True,True,0.0,False,2.3332,
heterogeneity,bd5e17dfd8d56c098f3c,1098413153,20,uniform,Aleatorio,low,Baja,0.15,0.15263288716564175,18,4,12,0.2,True,False,True,0.4144753205755549,-0.4144753205755549,1.9431584325595388,True,True,0.0,True,23.5217,
heterogeneity,bd5e17dfd8d56c098f3c,1098413153,20,uniform,Aleatorio,moderate,Moderada,0.35,0.4888563905999283,18,4,12,0.2,True,False,True,0.8276646932385354,-0.8276646932385354,3.642672024558642,True,True,0.0,True,12.8685,
heterogeneity,bd5e17dfd8d56c098f3c,1098413153,20,uniform,Aleatorio,high,Alta,0.65,0.6102298685870436,18,4,12,0.2,True,False,True,0.1534506215275293,-0.1534506215275293,4.1577201652463165,True,True,0.0,True,31.9703,
heterogeneity,bd5e17dfd8d56c098f3c,1098413153,20,uniform,Aleatorio,extreme,Extrema,1.0,0.7574784430348025,18,4,12,0.2,True,False,True,7.287889505109476,-5.446695673806296,0.08519710755202503,True,True,0.0,True,8.0042,
heterogeneity,3e082f9f67ff961d952e,3096796157,21,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,1.054944415571784,2.5355098940244365,True,True,0.0,False,1.6026,
heterogeneity,3e082f9f67ff961d952e,3096796157,21,uniform,Aleatorio,low,Baja,0.15,0.1519013586018622,18,4,12,0.2,True,True,False,0.0,0.0840373390492406,2.7866775842719282,True,True,0.0,False,12.2401,
