seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63205,0.4,0.8,1,1,1,0,0,0.5932689765593173,1.0597583416876494e-15,0.30055044288678684,r4
63205,0.4,1.0,1,1,1,0,0,0.7415862206991561,1.937843824800273e-15,0.3005504428867861,r4
63205,0.4,1.2,1,1,1,0,0,0.8899034648389621,8.215650382226158e-15,0.3005504428867847,r2
63205,0.6,0.2,1,1,1,0,0,0.14021234041083763,1.0345260002188958e-16,0.3004356351131247,r1
63205,0.6,0.4,1,1,1,0,0,0.28042468082167527,2.0690520004377916e-16,0.3004356351131247,r1
63205,0.6,0.6,1,1,1,0,0,0.42063702123251284,1.715799219875242e-16,0.30043563511312515,r2
63205,0.6,0.8,1,1,1,0,0,0.5608493616433505,4.138104000875583e-16,0.3004356351131247,r1
63205,0.6,1.0,1,1,1,0,0,0.7010617020541878,8.112409180072564e-17,0.30043563511312515,r2
63205,0.6,1.2,1,1,1,0,0,0.8412740424650257,3.431598439750484e-16,0.30043563511312515,r2
63205,0.8,0.2,1,1,1,0,0,0.1323471519134611,2.0185873175002847e-17,0.27818946335297634,r4
63205,0.8,0.4,1,1,1,0,0,0.2646943038269222,4.0371746350005693e-17,0.27818946335297634,r4
63205,0.8,0.6,1,1,1,0,0,0.3970414557403836,1.4130111222501992e-16,0.27818946335297706,r3
63205,0.8,0.8,1,1,1,0,0,0.5293886076538444,8.074349270001139e-17,0.27818946335297634,r4
63205,0.8,1.0,1,1,1,0,0,0.6617357595673058,1.6148698540002277e-16,0.27818946335297634,r3
63205,0.8,1.2,1,1,1,0,0,0.7940829114807672,2.8260222445003984e-16,0.27818946335297706,r3
63206,0.2,0.2,1,1,1,0,0,0.19062790487305828,3.027880976250427e-17,0.29809676519258865,r2
63206,0.2,0.4,1,1,1,0,0,0.38125580974611656,6.055761952500853e-17,0.29809676519258865,r2
63206,0.2,0.6,1,1,1,0,0,0.5718837146191748,5.0464682937507114e-17,0.29809676519258893,r2
63206,0.2,0.8,1,1,1,0,0,0.7625116194922331,1.2111523905001707e-16,0.29809676519258865,r2
63206,0.2,1.0,1,1,1,0,0,0.9531395243652915,1.6148698540002277e-16,0.29809676519258765,r1
63206,0.2,1.2,1,1,0,1,1,1.1437674292383495,1.0092936587501423e-16,0.29809676519258893,r2
63206,0.4,0.2,1,1,1,0,0,0.1510469149126825,8.831319514063745e-17,0.32738416779936197,r2
63206,0.4,0.4,1,1,1,0,0,0.302093829825365,1.766263902812749e-16,0.32738416779936197,r2
63206,0.4,0.6,1,1,1,0,0,0.45314074473804783,2.4223047810003414e-16,0.3273841677993612,r2
63206,0.4,0.8,1,1,1,0,0,0.60418765965073,3.532527805625498e-16,0.32738416779936197,r2
63206,0.4,1.0,1,1,1,0,0,0.755234574563413,6.257620684250883e-16,0.3273841677993613,r2
63206,0.4,1.2,1,1,1,0,0,0.9062814894760957,4.844609562000683e-16,0.3273841677993612,r2
63206,0.6,0.2,1,1,1,0,0,0.13790808894834702,6.969511201882886e-18,0.30071474666764625,r1
